"Código (SKU)";"Descrição";"Estoque físico"
"RCP20Y1666PRI";"CAPA RETROV ARGO 17> LD PRIMER";"0,00"
"RCP20Y1966PRI";"CAPA RETROV ARGO 17> LE C/FURO PRIMER";"78,00"
"RCP20Y2066PRI";"CAPA RETROV ARGO 17> LD C/FURO PRIMER";"0,00"
"RCP20Y7166PRI";"PISCA RETROV MOBI 14> LE C/PISCA PRIMER";"72,00"
"RCYC91COLOR";"CAPA RETROV CRETA 17> LE COLOR";"612,00"
"RCYC91LI";"CAPA RETROV CRETA 2017> LE LISA P/ PINTURA";"63,00"
"RCYC92COLOR";"CAPA RETROV CRETA 17> LE COLOR";"612,00"
"RCYC92LI";"CAPA RETROV LISA P/ PINTURA CRETA 17> LD";"0,00"
"RCYE91CE";"RETROV EXT CRETA C/ PISCA C/ ELETR LE";"0,00"
"RCYE92CE";"RETROV EXT CRETA C/ PISCA LD CE";"0,00"
"RCYE93CE";"RETROV EXT CRETA C/ PISCA + POWER FOLD (FECHAMENTO) LE CE";"82,00"
"RCYE94CE";"RETROV EXT CRETA C/ PISCA + POWER FOLD (FECHAMENTO) LD CE";"0,00"
"RCYM91";"SUBCONJUNTO CRETA 2017> LE";"0,00"
"RCYM92";"SUBCONJUNTO CRETA 2017> LD";"0,00"
"RCZC36COLOR";"CAPA RETROV HB20 20> C/FURO COLOR LD";"4.190,00"
"RCZC36LI";"CAPA RETROV LISA P/ PINTURA HB20 20> C/FURO DE PISCA LD";"78,00"
"RCZC37COLOR";"CAPA RETROV HB20 20> C/FURO COLOR LE";"4.095,00"
"RCZC37LI";"CAPA RETROV LISA P/ PINTURA HB20 - 2020> LE - C/FURO DE PISCA";"85,00"
"RCZC38LI";"CAPA RETROV HB20 19> LD LISA C/FURO P/PISCA";"0,00"
"RCZC73LI";"CAPA RETROV LISA P/ PINTURA HB20 - 2020> LE - S/FURO DE PISCA";"61,00"
"RCZC74LI";"CAPA RETROV LISA P/ PINTURA HB20 - 2020> LD - S/FURO DE PISCA";"373,00"
"RCZE34CR";"RETROV EXT HB20  20> LD CR";"0,00"
"RCZE35CR";"RETROV EXT HB20 20> LE CR";"0,00"
"RCZE36CE";"RETROV EXT HB 20 - 2020> C/ PISCA LD CE";"0,00"
"RCZE37CE";"RETROV EXT HB 20 - 2020> C/ PISCA LE CE";"0,00"
"RCZE38CE";"RETROV EXT C/ELETR HB20 2020> C/ PISCA (FECHAMENTO) POWER FOLD LD";"0,00"
"RCZE39CE";"RETROV EXT HB 20 - 20202> C/ PISCA + FECHAMENTO ( POWER FOLD) LE CE";"0,00"
"RCZM34";"SUBCONJUNTO HB20 20> LD";"0,00"
"RCZM35";"SUBCONJUNTO HB20 20> LE";"0,00"
"RF0I33PR";"RETROV INTERNO PRISMAT CORCEL II/ BELINA/DEL REY/ SCALA";"0,00"
"RF0I55PL";"RETROV INT CORCEL II/BELINA/DEL REY/SCALA PLANO";"0,00"
"RF1I09PR";"RETROV INT ESCORT/VERSAILLES/SANTANA/QUANTUM/FIESTA PRISMATICO";"0,00"
"RF1I50PR";"RETROV INT FIESTA 02>  / COURIER 97> / KA 07> TROLLER T4 14> PRISMATICO";"0,00"
"RF20Y1000";"RETROV EXT  CAMINHAO FORD";"0,00"
